0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,0,0,0,0,0,1,0,0,1,23,4,0,5,2,140,9,2,2,1,1,0,1,2,4,1,24,19,4,1,0,14,0,0,2,0,64,3,1,2,1,2,2,0,1,0,0,1,1,1,20,13,6,32,3,3,1,0,0,23,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,2,0,27,2,0,0,5,5,0,45,32,1,73,2,0,20,1,5,11,0,0,26,0,1,0,3,0,0,0,0,0,3,0,30,2,0,0,1,0,1,1,0,1,9,27,0,3,19,10,9,29,9,55,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,3,0,0,0,1,1,1,16,1,1,24,3,62,41,0,5,1,1,1,2,0,0,1,0,1,0,4,0,0,0,2,0,1,7,1,0,1,0,2,2,2,1,0,38,22,4,0,33,3,2,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,38,2,0,1,0,2,2,64,0,0,1,1,1,0,2,0,3,49,31,1,4,5,2,42,0,49,2,0,0,0,2,0,0,2,1,1,12,4,1,0,1,0,0,3,13,0,2,8,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,34,0,0,2,0,1,1,0,1,11,3,7,3,0,2,3,1,33,7,0,3,0,18,0,1,11,0,9,0,2,0,0,0,0,1,0,1,0,1,0,0,2,3,0,0,1,19,0,3,1,1,3,1,3,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,5,0,0,2,2,2,0,1,3,17,3,5,1,25,0,3,0,0,13,1,1,0,0,4,1,1,1,0,3,1,0,0,0,1,2,1,0,0,0,2,0,0,0,1,2,11,5,3,2,0,0,0,3,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,14,0,0,0,48,0,39,0,2,4,1,1,4,14,1,2,2,2,1,15,0,0,1,0,0,2,0,1,0,0,1,0,0,300,1,10,14,2,2,0,2,14,2,13,1,1,1,0,1,0,3,0,16,2,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,0,1,0,1,1,1,0,1,18,83,18,3,115,5,10,1,44,1,54,10,62,2,0,0,0,0,1,0,0,1,1,1,1,2,7,0,1,0,1,2,2,0,2,14,1,1,0,0,1,2,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,36,3,3,57,2,0,0,57,14,4,1,2,5,3,39,2,1,2,0,15,23,0,0,0,27,4,4,0,1,0,0,20,1,1,2,0,3,1,1,0,9,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,1,1,3,3,2,1,1,18,3,91,1,1,31,1,4,0,1,37,1,1,1,54,70,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,2,13,0,1,1,1,31,2,0,1,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
